Date,Open,High,Low,Close,Adj Close,Volume
19/11/2015,117.639999,119.75,116.760002,118.779999,113.891464,43295800
20/11/2015,119.199997,119.919998,118.849998,119.300003,114.390068,34287100
23/11/2015,119.269997,119.730003,117.339996,117.75,112.903854,32482500
24/11/2015,117.330002,119.349998,117.120003,118.879997,113.98735,42803200
25/11/2015,119.209999,119.230003,117.919998,118.029999,113.172325,21388300
27/11/2015,118.290001,118.410004,117.599998,117.809998,112.961395,13046400
30/11/2015,117.989998,119.410004,117.75,118.300003,113.431229,39180300
01/12/2015,118.75,118.809998,116.860001,117.339996,112.510719,34852400
02/12/2015,117.339996,118.110001,116.080002,116.279999,111.494362,33386600
03/12/2015,116.550003,116.790001,114.220001,115.199997,110.458809,41569500
04/12/2015,115.290001,119.25,115.110001,119.029999,114.131172,57777000
07/12/2015,118.980003,119.860001,117.809998,118.279999,113.412041,32084200
08/12/2015,117.519997,118.599998,116.860001,118.230003,113.364113,34309500
09/12/2015,117.639999,117.690002,115.080002,115.620003,110.861519,46361400
10/12/2015,116.040001,116.940002,115.510002,116.169998,111.388885,29104200
11/12/2015,115.190002,115.389999,112.849998,113.18,108.521942,46886200
14/12/2015,112.18,112.68,109.790001,112.480003,107.850754,64318700
15/12/2015,111.940002,112.800003,110.349998,110.489998,105.94265,53323100
16/12/2015,111.07,111.989998,108.800003,111.339996,106.757668,56238500
17/12/2015,112.019997,112.25,108.980003,108.980003,104.494812,44772800
18/12/2015,108.910004,109.519997,105.809998,106.029999,101.666206,96453300
21/12/2015,107.279999,107.370003,105.57,107.330002,102.912712,47590600
22/12/2015,107.400002,107.720001,106.449997,107.230003,102.816826,32789400
23/12/2015,107.269997,108.849998,107.199997,108.610001,104.14003,32657400
24/12/2015,109,109,107.949997,108.029999,103.583885,13570400
28/12/2015,107.589996,107.690002,106.18,106.82,102.423691,26704200
29/12/2015,106.959999,109.43,106.860001,108.739998,104.264664,30931200
30/12/2015,108.580002,108.699997,107.18,107.32,102.903107,25213800
31/12/2015,107.010002,107.029999,104.82,105.260002,100.927902,40635300
04/01/2016,102.610001,105.370003,102,105.349998,101.014191,67649400
05/01/2016,105.75,105.849998,102.410004,102.709999,98.482849,55791000
06/01/2016,100.559998,102.370003,99.870003,100.699997,96.555565,68457400
07/01/2016,98.68,100.129997,96.43,96.449997,92.480484,81094400
08/01/2016,98.550003,99.110001,96.760002,96.959999,92.969498,70798000
11/01/2016,98.970001,99.059998,97.339996,98.529999,94.474884,49739400
12/01/2016,100.550003,100.690002,98.839996,99.959999,95.846008,49154200
13/01/2016,100.32,101.190002,97.300003,97.389999,93.381798,62439600
14/01/2016,97.959999,100.480003,95.739998,99.519997,95.424126,63170100
15/01/2016,96.199997,97.709999,95.360001,97.129997,93.132484,79010000
19/01/2016,98.410004,98.650002,95.5,96.660004,92.681847,53087700
20/01/2016,95.099998,98.190002,93.419998,96.790001,92.806503,72334400
21/01/2016,97.059998,97.879997,94.940002,96.300003,92.336662,52161500
22/01/2016,98.629997,101.459999,98.370003,101.419998,97.245934,65800500
25/01/2016,101.519997,101.529999,99.209999,99.440002,95.347427,51794500
26/01/2016,99.93,100.879997,98.07,99.989998,95.874786,75077000
27/01/2016,96.040001,96.629997,93.339996,93.419998,89.57518,133369700
28/01/2016,93.790001,94.519997,92.389999,94.089996,90.217606,55678800
29/01/2016,94.790001,97.339996,94.349998,97.339996,93.333855,64416500
01/02/2016,96.470001,96.709999,95.400002,96.43,92.461311,40943500
02/02/2016,95.419998,96.040001,94.279999,94.480003,90.59156,37357200
